client_id,cons_price_idx,euribor_three_months
1,92.893,1.299
2,92.893,1.299
3,92.893,1.299
4,92.893,1.299
5,92.893,1.299
6,92.893,1.299
7,92.893,1.299
8,92.893,1.299
9,92.893,1.299
10,92.893,1.299
11,92.893,1.299
12,92.893,1.299
13,92.893,1.299
14,92.893,1.299
15,92.893,1.299
16,92.893,1.299
17,92.893,1.299
18,92.893,1.299
19,92.893,1.299
20,92.893,1.299
21,92.893,1.299
22,92.893,1.299
23,92.893,1.299
24,92.893,1.299
25,92.893,1.299
26,92.893,1.299
27,92.893,1.299
28,92.893,1.299
29,92.893,1.299
30,92.893,1.299
31,92.893,1.299
32,92.893,1.299
33,92.893,1.299
34,92.893,1.299
35,92.893,1.299
36,92.893,1.299
37,92.893,1.299
38,92.893,1.299
39,92.893,1.299
40,92.893,1.299
41,92.893,1.299
42,92.893,1.299
43,92.893,1.299
44,92.893,1.299
45,92.893,1.299
46,92.893,1.299
47,92.893,1.299
48,92.893,1.299
49,92.893,1.299
50,92.893,1.299
51,92.893,1.299
52,92.893,1.299
53,92.893,1.299
54,92.893,1.299
55,92.893,1.299
56,92.893,1.299
57,92.893,1.299
58,92.893,1.299
59,92.893,1.299
60,92.893,1.299
61,92.893,1.299
62,92.893,1.299
63,92.893,1.299
64,92.893,1.299
65,92.893,1.299
66,92.893,1.299
67,92.893,1.299
68,92.893,1.299
69,92.893,1.299
70,92.893,1.299
71,92.893,1.299
72,92.893,1.299
73,92.893,1.299
74,92.893,1.299
75,92.893,1.299
76,92.893,1.299
77,92.893,1.299
78,92.893,1.299
79,92.893,1.299
80,92.893,1.299
81,92.893,1.299
82,92.893,1.299
83,92.893,1.299
84,92.893,1.299
85,92.893,1.299
86,92.893,1.299
87,92.893,1.299
88,92.893,1.299
89,92.893,1.299
90,92.893,1.299
91,92.893,1.299
92,92.893,1.299
93,92.893,1.299
94,92.893,1.299
95,92.893,1.299
96,92.893,1.299
97,92.893,1.299
98,92.893,1.299
99,92.893,1.299
100,92.893,1.299
101,92.893,1.299
102,92.893,1.299
103,92.893,1.299
104,92.893,1.299
105,92.893,1.299
106,92.893,1.299
107,92.893,1.299
108,92.893,1.299
109,92.893,1.299
110,92.893,1.299
111,92.893,1.299
112,92.893,1.299
113,92.893,1.299
114,92.893,1.299
115,92.893,1.299
116,92.893,1.299
117,92.893,1.299
118,92.893,1.299
119,92.893,1.299
120,92.893,1.299
121,92.893,1.291
122,92.893,1.291
123,92.893,1.291
124,92.893,1.291
125,92.893,1.291
126,92.893,1.291
127,92.893,1.291
128,92.893,1.291
129,92.893,1.291
130,92.893,1.291
131,92.893,1.291
132,92.893,1.291
133,92.893,1.291
134,92.893,1.291
135,92.893,1.291
136,92.893,1.291
137,92.893,1.291
138,92.893,1.291
139,92.893,1.291
140,92.893,1.291
141,92.893,1.291
142,92.893,1.291
143,92.893,1.291
144,92.893,1.291
145,92.893,1.291
146,92.893,1.291
147,92.893,1.291
148,92.893,1.291
149,92.893,1.291
150,92.893,1.291
151,92.893,1.291
152,92.893,1.291
153,92.893,1.291
154,92.893,1.291
155,92.893,1.291
156,92.893,1.291
157,92.893,1.291
158,92.893,1.291
159,92.893,1.291
160,92.893,1.291
161,92.893,1.291
162,92.893,1.291
163,92.893,1.291
164,92.893,1.291
165,92.893,1.291
166,92.893,1.291
167,92.893,1.291
168,92.893,1.291
169,92.893,1.291
170,92.893,1.291
