client_id,age,job,marital,education,credit_default,mortgage
1,29,blue_collar,married,basic_9y,0,1
2,28,blue_collar,single,professional_course,0,1
3,58,technician,divorced,basic_9y,0,0
4,36,entrepreneur,married,high_school,0,1
5,31,services,married,basic_9y,0,0
6,29,blue_collar,married,basic_9y,0,1
7,33,admin,married,university_degree,0,0
8,55,management,married,university_degree,0,1
9,35,blue_collar,married,basic_4y,0,0
10,39,blue_collar,married,basic_9y,0,1
11,37,admin,single,university_degree,0,1
12,35,blue_collar,married,basic_4y,0,0
13,26,blue_collar,single,high_school,0,0
14,44,technician,married,professional_course,0,1
15,26,student,single,high_school,0,0
16,44,admin,married,high_school,0,1
17,30,services,single,high_school,0,1
18,28,blue_collar,married,basic_9y,0,1
19,27,services,married,basic_9y,0,1
20,33,blue_collar,single,basic_9y,0,0
21,32,blue_collar,married,basic_4y,0,0
22,43,blue_collar,married,basic_9y,0,1
23,24,technician,single,basic_9y,0,1
24,37,entrepreneur,married,basic_9y,0,1
25,32,admin,single,high_school,0,1
26,30,services,married,high_school,0,0
27,50,blue_collar,married,,0,1
28,43,services,divorced,professional_course,0,0
29,46,blue_collar,married,basic_9y,0,1
30,30,blue_collar,married,basic_6y,0,1
31,36,blue_collar,married,basic_6y,0,1
32,30,admin,single,university_degree,0,0
33,32,entrepreneur,married,basic_9y,0,0
34,42,entrepreneur,married,basic_4y,0,0
35,56,services,single,basic_4y,0,1
36,54,management,married,high_school,0,0
37,39,blue_collar,married,basic_6y,0,0
38,35,services,married,basic_9y,0,0
39,31,blue_collar,single,basic_6y,0,0
40,37,admin,married,high_school,0,0
41,35,blue_collar,married,basic_9y,0,0
42,32,blue_collar,married,basic_9y,0,0
43,54,blue_collar,divorced,,0,0
44,30,blue_collar,married,basic_4y,0,1
45,34,services,married,basic_9y,0,1
46,30,admin,single,university_degree,0,0
47,40,services,married,high_school,0,1
48,34,admin,unknown,university_degree,0,1
49,37,entrepreneur,married,basic_9y,0,0
50,33,blue_collar,single,basic_9y,0,0
51,47,blue_collar,married,basic_6y,0,1
52,35,blue_collar,single,basic_9y,0,1
53,30,technician,single,professional_course,0,1
54,33,admin,married,high_school,0,1
55,50,services,married,high_school,0,0
56,37,blue_collar,married,basic_6y,0,1
57,37,housemaid,divorced,basic_9y,0,1
58,55,self_employed,married,university_degree,0,0
59,49,blue_collar,single,high_school,0,1
60,30,entrepreneur,married,basic_6y,0,1
61,44,blue_collar,married,basic_9y,0,1
62,27,blue_collar,married,basic_4y,0,1
63,35,technician,single,university_degree,0,1
64,31,blue_collar,married,basic_9y,0,0
65,29,admin,single,basic_9y,0,1
66,33,services,married,basic_9y,0,0
67,36,technician,single,professional_course,0,1
68,29,blue_collar,married,basic_9y,0,1
69,25,blue_collar,single,high_school,0,1
70,42,blue_collar,married,basic_4y,0,1
71,47,blue_collar,married,basic_4y,0,0
72,44,technician,married,professional_course,0,0
73,34,blue_collar,single,university_degree,0,1
74,44,blue_collar,married,high_school,0,0
75,31,technician,married,university_degree,0,1
76,33,services,single,high_school,0,0
77,26,admin,single,high_school,0,1
78,29,entrepreneur,married,basic_4y,0,0
79,37,blue_collar,married,basic_9y,0,0
80,41,services,single,high_school,0,0
81,26,services,single,high_school,0,0
